Date ,Time, MagX , MagY , MagZ , AccX , AccY , AccZ , GyroX , GyroY , GyroZ , Temp , Roll , Pitch , Yaw
2021/10/13,13:34.2,32,-6,131.875,0.023,-0.033,1.033,-0.03,-0.03,0.03,28.26,-0.22,-0.93,-179.88
2021/10/13,13:35.2,34.25,-6.5,134.25,0.022,-0.032,1.032,0,-0.03,-0.061,28.22,-0.41,-1.49,-179.78
2021/10/13,13:36.2,35.25,-7.25,135.125,0.021,-0.033,1.031,0,-0.03,0.03,28.19,-0.56,-1.87,-179.7
2021/10/13,13:37.1,33.75,-8196.875,131.375,0.021,-0.032,1.032,0,-0.03,0.03,28.28,0.03,-2.38,-167.34
2021/10/13,13:38.1,33.25,-8197.375,134.75,0.021,-0.033,1.033,0,0,0,28.3,0.55,-2.76,-155.43
2021/10/13,13:39.1,32.75,-8197.375,135.5,0.021,-0.033,1.033,0.03,0,0,28.32,0.95,-2.97,-144.45
2021/10/13,13:40.1,34,-8199,133.375,0.022,-0.032,1.034,0.061,0.03,0.061,28.29,1.19,-3.03,-134.69
2021/10/13,13:41.2,31.625,-8198,130.25,0.021,-0.032,1.033,0.091,-0.03,0,28.32,1.27,-2.99,-126.27
2021/10/13,13:42.1,31.75,-5.875,127.125,0.021,-0.032,1.034,0,0,0.03,28.29,-0.52,-0.08,-127
2021/10/13,13:43.1,36.75,-5.625,133.75,0.021,-0.033,1.033,0.061,-0.03,0,28.32,-1.85,1.58,-127.63
2021/10/13,13:44.1,33.375,-24579.75,132.125,0.022,-0.032,1.033,0.03,0,0.061,28.32,-1.81,0.93,-120.24
2021/10/13,13:45.1,34.75,-6.5,133.625,0.021,-0.033,1.033,0,-0.03,0.061,28.32,-2.95,1.98,-120.74
2021/10/13,13:46.1,32.625,-8196.625,128.5,0.021,-0.033,1.031,0.091,0,-0.03,28.3,-2.62,1.24,-114.56
2021/10/13,13:47.1,34.125,-6.125,132.125,0.021,-0.032,1.033,0,0,0.03,28.27,-3.71,2.18,-115.04
2021/10/13,13:48.1,30.375,-8197.25,133.625,0.021,-0.032,1.032,0.03,0,0,28.29,-3.23,1.39,-109.9
2021/10/13,13:49.1,32.25,-6.25,136.5,0.021,-0.032,1.033,0,0,0.03,28.27,-4.14,2.03,-110.27
2021/10/13,13:50.1,32.875,-7.625,132.125,0.02,-0.032,1.031,0,0,0.03,28.21,-4.75,2.31,-110.61
2021/10/13,13:51.1,35.375,-4.75,134.25,0.021,-0.032,1.033,0.03,-0.03,0.03,28.3,-5.29,2.7,-110.96
2021/10/13,13:52.1,32.125,-8197.625,131.875,0.021,-0.033,1.033,0.03,0,0.03,28.24,-4.49,1.8,-106.6
2021/10/13,13:53.1,31.125,-5.125,137.125,0.022,-0.032,1.032,0.061,0.03,0.03,28.27,-5,2.08,-106.86
2021/10/13,13:54.1,36,-16390.875,133.5,0.021,-0.032,1.031,0.03,0.03,0,28.27,-4.23,1.3,-103.3
2021/10/13,13:55.1,32.625,-16389,127.625,0.021,-0.033,1.032,0.03,-0.061,0.03,28.28,-3.59,0.66,-100.47
2021/10/13,13:56.1,34.5,-6.625,131.875,0.021,-0.03,1.033,0.061,0,0.03,28.26,-4.96,1.85,-101.02
2021/10/13,13:57.1,33.875,-9.25,132.125,0.021,-0.033,1.032,0.03,0.03,0,28.26,-5.69,2.14,-101.38
2021/10/13,13:58.1,34,-5.875,135.375,0.021,-0.033,1.031,0.061,0,0,28.3,-6.1,2.32,-101.67
2021/10/13,13:59.1,30.875,-6.25,127.875,0.021,-0.032,1.032,0.03,0,0.03,28.24,-6.25,2.25,-101.87
2021/10/13,14:00.1,34.875,-9.875,131.125,0.022,-0.031,1.032,0.061,0.03,-0.03,28.25,-6.53,2.27,-102.17
2021/10/13,14:01.1,34.5,-7.625,138.5,0.021,-0.032,1.032,0,0,0,28.26,-6.55,2.18,-102.37
2021/10/13,14:02.1,32.375,-8198.25,132.125,0.021,-0.033,1.032,0.061,0.061,0,28.25,-5.42,1.36,-99.73
2021/10/13,14:03.1,31.5,-8202.375,130.375,0.021,-0.032,1.033,0.061,0,0.03,28.22,-4.5,0.71,-97.65
2021/10/13,14:04.1,31.75,-5.375,128.375,0.021,-0.032,1.032,0.03,0,0.03,28.22,-5.49,1.62,-98.07
2021/10/13,14:05.0,33.5,-10,132.875,0.022,-0.031,1.03,-0.03,-0.061,0,28.16,-6.1,1.86,-98.4
2021/10/13,14:06.0,33,-9.5,137.5,0.021,-0.033,1.031,0.03,0,0.03,28.18,-6.33,1.82,-98.62
2021/10/13,14:07.1,32.625,-8198.625,134,0.022,-0.031,1.033,0,0,0.03,28.17,-5.24,1.08,-96.77
2021/10/13,14:08.1,34.5,-6.875,130.375,0.021,-0.032,1.03,0.03,0,0.03,28.14,-6.13,1.81,-97.2
2021/10/13,14:09.1,31.375,-6.25,131.875,0.021,-0.032,1.033,0.03,0,0.061,28.17,-6.38,1.9,-97.42
2021/10/13,14:10.1,32.125,-7.625,137.5,0.022,-0.032,1.032,0,0,0.061,28.17,-6.49,1.83,-97.6
2021/10/13,14:11.0,32.5,-8.375,132.75,0.022,-0.032,1.032,0.03,0,0.03,28.2,-6.64,1.82,-97.82
2021/10/13,14:12.1,34.5,-6.875,132.625,0.022,-0.032,1.032,-0.03,0,0.03,28.13,-6.9,2,-98.09
2021/10/13,14:13.0,34.375,-7.125,130.25,0.021,-0.033,1.033,0.03,-0.03,0.03,28.18,-7.06,2.08,-98.35
2021/10/13,14:14.0,35.125,-4.875,133,0.023,-0.031,1.033,0.03,0,0,28.17,-7.2,2.25,-98.6
2021/10/13,14:15.0,33.25,-8198.375,133.625,0.023,-0.032,1.033,0.061,0,0.061,28.17,-5.93,1.42,-96.75
2021/10/13,14:16.0,36.125,-7,132,0.022,-0.032,1.033,0,-0.061,0.03,28.14,-6.65,1.99,-97.16
2021/10/13,14:17.0,36.5,-8.875,133.625,0.022,-0.031,1.032,-0.03,-0.061,0.03,28.17,-7.04,2.17,-97.49
2021/10/13,14:18.0,32.75,-7.5,131.25,0.022,-0.031,1.031,0.061,-0.03,0,28.15,-7.03,2.05,-97.68
2021/10/13,14:19.0,31.875,-7,132.75,0.021,-0.032,1.031,0,-0.03,0.03,28.12,-6.92,1.89,-97.83
2021/10/13,14:20.0,35.375,-7.875,133.625,0.023,-0.031,1.032,0.03,0,0.03,28.13,-7.11,2.01,-98.1
2021/10/13,14:21.0,33.75,-16388.125,131.625,0.021,-0.031,1.033,0,0.03,0,28.17,-5.86,1.23,-96.35
2021/10/13,14:22.0,32.625,-8195.75,133,0.022,-0.031,1.034,0.061,0,0.03,28.14,-4.85,0.61,-94.98
2021/10/13,14:23.0,33.75,-8195.375,133,0.023,-0.031,1.032,0.091,0,0.091,28.18,-4.06,0.12,-93.91
2021/10/13,14:23.9,33.25,-6.25,133.5,0.021,-0.031,1.033,0,0.03,0.03,28.17,-5.38,1.34,-94.4
2021/10/13,14:25.0,35.625,-6.125,135.75,0.021,-0.033,1.033,0.061,-0.03,-0.03,28.2,-6.28,1.99,-94.82
2021/10/13,14:26.0,34.5,-8195.625,128.75,0.022,-0.032,1.033,0.03,0.03,0,28.22,-5.2,1.19,-93.78
2021/10/13,14:26.9,33.5,-16389.25,133.375,0.021,-0.033,1.034,0,-0.03,0.03,28.2,-4.34,0.55,-92.96
2021/10/13,14:27.9,31.875,-8.375,136.75,0.022,-0.031,1.033,0.061,0,0,28.19,-5.42,1.27,-93.33
2021/10/13,14:29.0,33.625,-16390.25,134.375,0.021,-0.032,1.031,0.03,-0.03,-0.03,28.14,-4.51,0.62,-92.61
2021/10/13,14:29.9,28.75,-8200,127.625,0.022,-0.031,1.03,0.03,0,0,28.17,-3.8,0.11,-92.05
2021/10/13,14:30.9,35.375,-8197.875,135.625,0.021,-0.032,1.032,-0.03,0,0.061,28.12,-3.22,-0.29,-91.62
2021/10/13,14:31.9,32.25,-7.125,132.125,0.022,-0.032,1.031,0,-0.03,0,28.09,-4.94,1.13,-92.17
2021/10/13,14:32.9,36.5,-16387.75,133.25,0.022,-0.033,1.032,0,0,0.03,28.08,-4.13,0.49,-91.69
2021/10/13,14:33.9,37.125,-7.375,131.875,0.021,-0.032,1.031,0,-0.061,0,28.02,-5.85,1.83,-92.35
2021/10/13,14:34.9,34.875,-8198.875,129.875,0.013,-0.034,1.029,1.89,-2.53,-0.122,28.08,-4.87,1.11,-91.85
2021/10/13,14:35.9,91.25,70.875,60.75,0.298,0.169,0.958,17.805,-54.482,1.463,27.97,-13.06,14.79,-102.32
2021/10/13,14:36.9,119.5,84.875,-32765.375,0.809,0.516,0.313,-8.354,37.104,4.634,28.01,-18.15,12.46,-102.41
2021/10/13,14:37.9,-60.875,43.125,91,-0.391,0.239,0.941,-7.866,104.817,17.012,28.04,1.46,20.61,-97.33
2021/10/13,14:38.9,-55.875,33,95.375,-0.649,0.194,0.763,-0.213,-46.982,-10.122,28.06,12.93,24.47,-96.07
2021/10/13,14:39.9,15.75,-92,15.25,-0.081,-0.75,0.646,-82.835,1.494,32.744,28.02,12.68,8.38,-98.33
2021/10/13,14:40.9,38.75,-8213.75,96.625,0.026,-0.46,0.791,118.628,-0.213,-29.848,28.02,10.1,5.85,-99.45
2021/10/13,14:41.9,8196.875,73.375,105.75,-0.036,0.79,0.613,-57.744,33.628,-4.665,28.05,12.92,10.46,-110.8
2021/10/13,14:42.9,10.25,-8197.875,126.625,-0.154,-0.114,1.181,-21.28,6.646,0.488,28.01,11.58,6.21,-106.87
2021/10/13,14:43.9,16.875,8216.625,118.5,-0.21,0.175,0.832,-71.098,7.53,-10,27.98,12.92,6.85,-110.41
2021/10/13,14:44.9,19.375,90.25,113.25,-0.188,0.31,0.697,25.091,6.098,7.439,27.97,12.71,22.78,-111.44
2021/10/13,14:45.9,46,9.75,99.75,-0.045,-0.066,0.877,36.28,-46.585,-7.5,27.96,5.53,22.05,-117.17
2021/10/13,14:46.9,-11,-18.375,113.625,-0.187,-0.169,0.946,-66.341,78.476,19.238,27.96,13.07,12.05,-115.25
2021/10/13,14:47.9,28.5,8199.625,120.625,-0.168,0.171,1.023,31.555,-17.165,6.951,27.96,12.72,18.39,-119.96
2021/10/13,14:48.9,24.25,-8199.625,111.5,0.123,-0.141,1.014,-4.451,3.415,2.409,27.93,7.4,13.08,-114.73
2021/10/13,14:49.9,-16387.375,16389.375,72.875,0.093,0.037,1.1,-14.97,3.323,29.634,27.92,7.91,15.05,-109.12
2021/10/13,14:50.9,26.5,21.75,105.125,-0.093,0.092,1.026,-4.329,-12.713,-11.646,27.91,4.05,16.13,-111.31
2021/10/13,14:51.9,47.75,14.375,118.125,-0.13,-0.009,1.024,-8.811,12.744,-17.012,27.92,2.59,15.25,-114
2021/10/13,14:52.9,53.875,8201.125,120,-0.123,-0.164,1.039,4.177,6.22,-15.122,27.92,5.39,16.62,-119.57
2021/10/13,14:53.9,44.25,-32765.125,122.375,0.03,-0.305,1.035,11.433,8.171,5.732,27.9,3.08,10.97,-114.03
2021/10/13,14:54.8,43.875,-16385.75,116.375,0.199,-0.354,1.106,26.463,-3.811,8.323,27.86,-0.49,6.58,-109.1
2021/10/13,14:55.9,42.125,-14,110.5,0.301,-0.127,1.06,19.177,-17.866,18.415,27.87,-7.12,6.64,-109.8
2021/10/13,14:56.9,30.375,-6.25,88.875,0.216,0.096,1.071,-0.854,0.732,30.549,27.83,-9.54,7.02,-108.88
2021/10/13,14:57.9,38.875,8202,92,0.031,0.152,1.078,2.134,-10.701,-9.451,27.87,-7.52,10.69,-113.79
2021/10/13,14:58.9,50.25,19,115.875,-0.079,0.025,1.151,-9.97,14.604,-20.579,27.89,-6.11,10.97,-115.55
2021/10/13,14:59.9,55.125,14,116.75,-0.044,-0.098,1.071,4.665,-2.104,-19.756,27.86,-6.41,10.58,-117.54
