Date,Time, MagX , MagY , MagZ , AccX , AccY , AccZ , GyroX , GyroY , GyroZ , Temp , Roll , Pitch , Yaw
2021/10/13,23:34.7,47.125,31.875,130.625,0.026,-0.002,1.034,0.061,-0.061,0,29.06,-1.47,-0.18,142.13
2021/10/13,23:35.7,45.375,31.375,129.125,0.026,-0.002,1.034,0.061,0,-0.03,29.08,-1.5,-0.22,142.16
2021/10/13,23:36.7,45.75,35.125,129.5,0.026,-0.003,1.033,0.122,0.03,0,29.1,-1.38,-0.06,142.08
2021/10/13,23:37.7,44.125,34.5,126.875,0.026,-0.004,1.033,0,0.03,0.03,29.07,-1.28,0.04,142.01
2021/10/13,23:38.7,46.125,36.125,132.125,0.025,-0.003,1.033,0.061,0,0,29.12,-1.22,0.12,141.94
2021/10/13,23:39.7,45.75,31.375,132.75,0.026,-0.002,1.032,0.03,-0.03,-0.03,29.07,-1.37,-0.06,142.01
2021/10/13,23:40.7,46,30.75,125.875,0.026,-0.002,1.034,0.03,0.03,0.03,29.11,-1.49,-0.21,142.09
2021/10/13,23:41.7,45,32.875,125.375,0.025,-0.002,1.033,0.03,0,0.061,29.13,-1.43,-0.14,142.07
2021/10/13,23:42.7,45.125,33.625,127.625,0.026,-0.002,1.033,0.061,-0.03,0.03,29.13,-1.38,-0.08,142.03
2021/10/13,23:43.7,47,31.75,130.375,0.025,-0.002,1.032,0.03,0,0,29.14,-1.47,-0.2,142.1
2021/10/13,23:44.7,44.5,34.625,131.75,0.025,-0.002,1.031,0,-0.03,-0.03,29.14,-1.33,-0.03,142.01
2021/10/13,23:45.7,42.5,33.875,127.5,0.025,-0.002,1.032,0.061,-0.061,0,29.14,-1.22,0.11,141.93
2021/10/13,23:46.7,46,35.25,127,0.024,-0.002,1.032,0,-0.03,-0.061,29.14,-1.21,0.11,141.89
2021/10/13,23:47.7,46.125,32.625,129.375,0.025,-0.003,1.032,0.03,-0.03,-0.03,29.18,-1.31,-0.03,141.94
2021/10/13,23:48.7,43.5,32,128,0.025,-0.003,1.034,0,0,0.03,29.18,-1.31,-0.03,141.93
2021/10/13,23:49.7,44.625,28.625,131.75,0.026,-0.003,1.032,0.03,-0.03,0,29.19,-1.49,-0.27,142.03
2021/10/13,23:50.7,44.375,34.5,127.875,0.025,-0.003,1.033,0.061,-0.03,0,29.22,-1.34,-0.09,141.95
2021/10/13,23:51.7,43.375,34,130.75,0.025,-0.002,1.033,0,-0.061,0.03,29.19,-1.25,0.04,141.88
2021/10/13,23:52.6,45,31.25,128.625,0.026,-0.003,1.034,0.03,0,0,29.22,-1.37,-0.1,141.93
2021/10/13,23:53.7,47.375,34.25,129.875,0.025,-0.003,1.033,0,-0.03,0,29.19,-1.38,-0.13,141.94
2021/10/13,23:54.6,43.25,35.375,130.75,0.025,-0.002,1.033,0,-0.061,0.03,29.22,-1.21,0.08,141.82
2021/10/13,23:55.6,44.75,32.125,129.375,0.026,-0.003,1.034,0,-0.03,-0.03,29.23,-1.3,-0.03,141.85
2021/10/13,23:56.6,45.25,32,130.5,0.024,-0.002,1.032,0.03,0.03,0,29.23,-1.36,-0.1,141.89
2021/10/13,23:57.6,45,36.625,129.875,0.025,-0.002,1.032,-0.03,-0.03,0.03,29.25,-1.2,0.09,141.78
2021/10/13,23:58.6,44.625,34.75,133.875,0.025,-0.003,1.033,0,-0.061,0.03,29.26,-1.18,0.11,141.74
2021/10/13,23:59.6,45.375,34.125,129.375,0.025,-0.003,1.033,0.03,-0.061,0.061,29.26,-1.23,0.06,141.74
2021/10/13,24:00.6,44.375,34.625,131.75,0.026,-0.003,1.033,0,-0.03,0.03,29.24,-1.21,0.1,141.69
2021/10/13,24:01.6,47,31.125,131.125,0.026,-0.002,1.033,-0.03,-0.03,0,29.24,-1.41,-0.15,141.8
2021/10/13,24:02.6,43.125,34,123.5,0.025,-0.002,1.031,0.03,0,0.03,29.25,-1.29,0,141.72
2021/10/13,24:03.6,41.125,32.5,129,0.026,-0.002,1.032,0,-0.061,0.091,29.26,-1.22,0.09,141.67
2021/10/13,24:04.6,43.25,34.625,129.5,0.026,-0.002,1.033,0.061,-0.03,0.03,29.3,-1.17,0.17,141.6
2021/10/13,24:05.6,45.75,34,132,0.026,-0.002,1.032,0,-0.03,0,29.3,-1.25,0.08,141.62
2021/10/13,24:06.6,45.125,32.25,128.25,0.024,-0.003,1.032,0,0.03,0,29.3,-1.32,-0.05,141.66
2021/10/13,24:07.6,42.875,34.25,126.75,0.024,-0.002,1.032,0,-0.03,0.03,29.29,-1.22,0.07,141.59
2021/10/13,24:08.5,44.375,32.375,132.25,0.025,-0.001,1.033,0,-0.091,0.03,29.31,-1.29,0.01,141.61
2021/10/13,24:09.5,44.375,32.875,129.875,0.025,-0.003,1.033,0.03,-0.03,0.03,29.28,-1.32,-0.02,141.61
2021/10/13,24:10.5,45.25,35.25,125.875,0.025,-0.003,1.033,0.03,-0.03,-0.03,29.26,-1.27,0.04,141.56
2021/10/13,24:11.5,45.375,34.625,128,0.025,-0.004,1.032,0.03,-0.03,0.03,29.26,-1.27,0.02,141.54
2021/10/13,24:12.5,44.125,32.5,131.875,0.026,-0.002,1.034,0,-0.091,0,29.28,-1.32,-0.02,141.55
2021/10/13,24:13.5,44.375,32.25,131.625,0.025,-0.002,1.032,0.03,-0.03,0.03,29.26,-1.36,-0.07,141.56
2021/10/13,24:14.5,43.5,34.25,130.875,0.024,-0.003,1.032,0.061,-0.061,0,29.28,-1.26,0.02,141.5
2021/10/13,24:15.5,43.375,41.5,129.5,0.025,-0.003,1.033,0.03,-0.03,0,29.26,-0.91,0.41,141.24
2021/10/13,24:16.5,43.5,32.625,131,0.025,-0.002,1.033,0.03,-0.03,0,29.32,-1.08,0.22,141.28
2021/10/13,24:17.5,48,37.125,130,0.026,-0.003,1.033,0.03,-0.091,-0.03,29.27,-1.15,0.14,141.28
