Date,Time, MagX , MagY , MagZ , AccX , AccY , AccZ , GyroX , GyroY , GyroZ , Temp , Humid , Roll , Pitch , Yaw
2021/10/13,33:35.2,41.625,32.75,127.5,0.024,-0.003,1.032,0.03,-0.03,-0.061,30.15,30.8,-1.22,0.06,140.07
2021/10/13,33:36.2,43.75,31.75,128.125,0.026,-0.001,1.032,-0.03,-0.061,-0.03,30.19,30.79,-1.38,-0.11,140.14
2021/10/13,33:37.1,42.125,33.25,130.5,0.024,-0.003,1.031,0,-0.061,-0.061,30.19,30.79,-1.34,-0.07,140.11
2021/10/13,33:38.1,43,35,130.5,0.025,-0.002,1.032,-0.03,-0.183,0,30.18,30.8,-1.29,0,140.06
2021/10/13,33:39.2,47.625,31.5,130.125,0.025,-0.002,1.032,0.03,-0.091,-0.061,30.17,30.82,-1.53,-0.31,140.22
2021/10/13,33:40.1,39.375,31.875,129.125,0.025,-0.004,1.032,0.03,-0.061,-0.061,30.17,30.83,-1.39,-0.16,140.15
2021/10/13,33:41.1,43,32.75,127.25,0.026,-0.002,1.033,0,-0.091,0,30.17,30.83,-1.41,-0.16,140.16
2021/10/13,33:42.1,45.5,34.75,133.375,0.025,-0.002,1.033,0.03,-0.091,-0.061,30.18,30.84,-1.41,-0.15,140.16
2021/10/13,33:43.1,41.75,32.25,130.25,0.026,-0.003,1.032,-0.03,-0.091,-0.061,30.15,30.84,-1.4,-0.13,140.14
2021/10/13,33:44.1,45.75,33.125,126.25,0.025,-0.002,1.032,-0.03,-0.091,-0.03,30.15,30.82,-1.49,-0.24,140.2
2021/10/13,33:45.1,42.625,33.125,131,0.025,-0.003,1.031,-0.061,-0.03,-0.061,30.14,30.85,-1.43,-0.18,140.17
2021/10/13,33:46.1,43.625,33,129.75,0.026,-0.002,1.033,0.03,-0.091,0,30.13,30.84,-1.45,-0.17,140.18
2021/10/13,33:47.1,41.25,31.5,133.75,0.025,-0.003,1.031,0,-0.03,0.03,30.14,30.85,-1.43,-0.15,140.18
2021/10/13,33:48.1,46.75,37.625,126.125,0.025,-0.002,1.032,0,-0.061,0.03,30.11,30.86,-1.36,-0.06,140.13
2021/10/13,33:49.1,43.375,32.75,127.625,0.025,-0.002,1.031,0,-0.03,-0.03,30.09,30.85,-1.4,-0.12,140.15
2021/10/13,33:50.1,44.75,32.375,127.125,0.026,-0.002,1.032,0,-0.091,-0.03,30.1,30.87,-1.5,-0.23,140.21
2021/10/13,33:51.1,43.75,33.75,132.75,0.024,-0.002,1.031,0,-0.091,-0.061,30.09,30.88,-1.44,-0.17,140.19
2021/10/13,33:52.1,43.25,30.375,126.5,0.025,-0.001,1.032,0,-0.03,0.03,30.11,30.89,-1.54,-0.28,140.26
2021/10/13,33:53.1,46.375,32.5,127.125,0.026,-0.001,1.034,-0.061,-0.122,0.03,30.13,30.89,-1.62,-0.36,140.33
2021/10/13,33:54.1,43.375,33.375,130.75,0.025,-0.002,1.032,0,-0.03,-0.03,30.11,30.9,-1.52,-0.25,140.29
2021/10/13,33:55.1,43,32,128.875,0.026,-0.002,1.03,0,-0.03,0,30.07,30.9,-1.52,-0.23,140.3
2021/10/13,33:56.1,46,31.5,128.25,0.025,-0.003,1.03,0.03,-0.091,0,30.06,30.91,-1.62,-0.38,140.39
2021/10/13,33:57.1,47.25,34.5,126,0.025,-0.002,1.029,0,-0.091,0.061,29.98,30.93,-1.61,-0.36,140.42
2021/10/13,33:58.1,43.875,34.25,129.25,0.025,-0.003,1.03,0,-0.061,-0.03,30.03,30.95,-1.49,-0.23,140.37
2021/10/13,33:59.1,44.75,32.25,128.375,0.025,-0.002,1.031,0.03,0,0,30.02,30.97,-1.53,-0.29,140.41
2021/10/13,34:00.1,43,31.875,137.375,0.025,-0.002,1.032,-0.03,-0.122,0,30.04,30.98,-1.51,-0.24,140.41
2021/10/13,34:01.1,38.375,35,128.125,0.026,-0.002,1.032,0,-0.091,0,29.98,30.98,-1.21,0.1,140.23
2021/10/13,34:02.1,46.625,32.125,132.5,0.026,-0.001,1.032,0,-0.091,-0.061,30.01,30.98,-1.44,-0.16,140.35
2021/10/13,34:03.0,42.5,34.625,126.125,0.026,-0.002,1.031,0,-0.061,0,29.98,30.99,-1.34,-0.04,140.29
2021/10/13,34:04.1,45.875,33.125,132.375,0.025,-0.002,1.032,0,-0.03,0,29.98,30.99,-1.44,-0.16,140.35
2021/10/13,34:05.0,41,32.25,131.5,0.025,-0.002,1.032,0.03,-0.061,0,29.98,30.99,-1.38,-0.09,140.31
2021/10/13,34:06.0,41.125,34.125,126.25,0.025,-0.002,1.032,-0.03,-0.091,0.03,29.98,31.02,-1.27,0.03,140.24
2021/10/13,34:07.0,45.375,33.125,128,0.025,-0.002,1.03,0.03,-0.03,0,29.94,31.03,-1.39,-0.12,140.31
2021/10/13,34:08.0,43.625,35.375,128.875,0.026,-0.001,1.03,0.061,-0.061,-0.03,29.92,31.04,-1.32,0,140.25
2021/10/13,34:09.1,42.625,37.25,130.5,0.026,-0.002,1.03,0.03,-0.061,0.03,29.91,31.08,-1.17,0.17,140.14
2021/10/13,34:10.0,41.125,33.75,125.375,0.026,-0.002,1.03,-0.03,-0.061,0.061,29.91,31.1,-1.18,0.16,140.11
2021/10/13,34:11.0,46,32.5,128.75,0.025,-0.002,1.031,0,-0.03,-0.03,29.91,31.15,-1.39,-0.1,140.22
2021/10/13,34:12.0,40.375,32.375,127,0.026,-0.001,1.031,-0.03,-0.061,-0.03,29.89,31.16,-1.33,-0.02,140.18
2021/10/13,34:13.0,46.875,35.375,131,0.025,-0.002,1.032,-0.03,-0.061,0.03,29.93,31.19,-1.4,-0.1,140.21
